\lx,\ps,\gm,\ge,\cf,\rt,\sy,\sy,\z_manual_check
sokot,n,,,,,,,
lunggar,n,,,,,,,
unggar,n,,,,,,,
waya',n,,,,,,,
popor,n,,,,,,,
bubuk,n,,,,,,,
togor,n,,,,,,,
insok,n,,,,,,,
baku,,,,,,,,
dadang,,,,,,,,
limoyot,n,,,,,,,
touri,,,,,,,,
sapad,n,,,,,,,
tarus,,,,,,,,
lansar,n,,,,,,,
sorita',n,,,,,,,
susun,n,,,,,,,
mula',,,,,,,,
pupus,,,,,,,,
tuju,,,,,,,,
sulung,,,,,,,,
patah,,,,,,,,
